row_id,id,label,label_name,channel,category,subcategory,subject,body,raw_text,model_text,reason,requested_action,length_bucket,typo_level,obfuscation_type,url_type,attachment_flag,language_style,tone,template_group_id,pair_id,source_type,source_note,generation_batch,review_status,char_length,email_format,hard_negative_flag,template_family_id,generation_model,prompt_family,auto_audit_status,split_group_id,split,change_type,change_reason
1,EMAIL_S05C_PROS_027,1,spam_or_fraud,email,S05_정부기관_세금_환급_사칭,경찰·검찰 사칭,금감원 긴급 명의보호 조치,"경찰 처리: https://example.invalid/notice?ref=mail&utm_source=notice
명의보호를 위한 긴급 조치가 필요합니다. 지금 링크에서 개인정보를 입력해 주세요","제목: 금감원 긴급 명의보호 조치
본문: 경찰 처리: https://example.invalid/notice?ref=mail&utm_source=notice
명의보호를 위한 긴급 조치가 필요합니다. 지금 링크에서 개인정보를 입력해 주세요","제목: 금감원 긴급 명의보호 조치
본문: 경찰 처리: [URL]
명의보호를 위한 긴급 조치가 필요합니다. 지금 링크에서 개인정보를 입력해 주세요",금감원 사칭 긴급조치,enter_credential,31-80,strong,url_obfuscation,tracking,False,korean_english,formal,TFAM_05324_G01,,ai_generated,"Claude batch S05_03, prompt version 2.0",S05_03,pending,80,subject_body,False,TFAM_05324,Claude,,auto_pass,SGRP_04935,train,corrected,metadata_token_consistency_fix; compact_boilerplate_diversified
2,EMAIL_S14D_DUP_024,1,spam_or_fraud,email,S14_구독_환불_고객센터_사기,과다·중복 결제 사칭,결제 오류 정산 안내,"결제 승인: https://example.invalid/notice?ref=mail&utm_source=notice
결제 시스템 오류로 정산이 필요합니다. 지금 링크에서 계좌를 등록해 주세요. 감사합…","제목: 결제 오류 정산 안내
본문: 결제 승인: https://example.invalid/notice?ref=mail&utm_source=notice
결제 시스템 오류로 정산이 필요합니다. 지금 링크에서 계좌를 등록해 주세요. 감사합…","제목: 결제 오류 정산 안내
본문: 결제 승인: [URL]
결제 시스템 오류로 정산이 필요합니다. 지금 링크에서 계좌를 등록해 주세요. 감사합…",결제오류 정산 사칭,enter_credential,31-80,strong,homoglyph,tracking,False,korean_english,formal,TFAM_07016_G01,,ai_generated,"Claude batch S14_04, prompt version 2.0",S14_04,pending,80,subject_body,False,TFAM_07016,Claude,,auto_pass,SGRP_06597,train,corrected,metadata_token_consistency_fix; compact_boilerplate_diversified
3,EMAIL_N04C_TXN_016,0,normal,email,N04_금융_은행_안내,계좌·거래내역 안내,계좌·거래내역 안내,장기 미사용으로 계좌가 휴면 상태로 전환될 수 있습니다. 참고해 주세요. 바쁘시겠지만 확.인 부탁드립니다.,장기 미사용으로 계좌가 휴면 상태로 전환될 수 있습니다. 참고해 주세요. 바쁘시겠지만 확.인 부탁드립니다.,장기 미사용으로 계좌가 휴면 상태로 전환될 수 있습니다. 참고해 주세요. 바쁘시겠지만 확.인 부탁드립니다.,정상 휴면계좌 사전 안내,information,31-80,strong,special_character,none,False,korean_english,formal,TFAM_02175_G01,,ai_generated,"Claude batch N04_03, prompt version 2.0",N04_03,pending,59,body_only,False,TFAM_02175,Claude,,auto_pass,SGRP_01905,train,unchanged,subject_repetition_cleanup
4,EMAIL_S03B_REF_031,1,spam_or_fraud,email,S03_금융_카드_결제_사기,결제 취소·환불 사칭,한도복구 https://example.invalid/official 입력,,한도복구 https://example.invalid/official 입력,한도복구 [URL] 입력,사칭·기만·민감정보·송금·설치·비동의 광고 중 하나 이상의 위험 행동을 요구함,transfer_money,10-30,none,none,normal,False,korean,formal,TFAM_04921_G01,,ai_generated,Final v1 enhancement rewrite/augmentation; ChatGPT 2026-07-18,FINAL_REBUILD_S03_01,pending,13,subject_only,False,TFAM_04921,ChatGPT,FINAL_S03_결제 취소·환불 사칭_V1,auto_pass,SGRP_04539,train,rewrite_rebalance,스팸 81~200자 과다 완화 및 짧은·장문 범위 보강; final_quality_compact_rewrite
5,EMAIL_N14B_GOVT_038,0,normal,email,N14_학교_공공기관_의료_통신,공공기관 안내,지역 축제 안내,이번 주말 지역 축제가 개최됩니다. 궁금하신 점 있으면 말씀해 주세요.,"제목: 지역 축제 안내
본문: 이번 주말 지역 축제가 개최됩니다. 궁금하신 점 있으면 말씀해 주세요.","제목: 지역 축제 안내
본문: 이번 주말 지역 축제가 개최됩니다. 궁금하신 점 있으면 말씀해 주세요.",정상 지역 행사 안내,information,31-80,strong,url_obfuscation,none,False,korean,formal,TFAM_04018_G01,,ai_generated,"Claude batch N14_02, prompt version 2.0",N14_02,pending,56,subject_body,False,TFAM_04018,Claude,,auto_pass,SGRP_03659,train,unchanged,
6,EMAIL_N01D_FAM_007,0,normal,email,N01_개인_일상_이메일,가족·친구 생활 연락,친구 결혼식 같이 갈래?,다음 달 친구 결혼식 있는데 같이 갈래?,"제목: 친구 결혼식 같이 갈래?
본문: 다음 달 친구 결혼식 있는데 같이 갈래?","제목: 친구 결혼식 같이 갈래?
본문: 다음 달 친구 결혼식 있는데 같이 갈래?",정상 친구 연락,reply,31-80,strong,special_character,none,False,english,formal,TFAM_01659_G01,,ai_generated,"Claude batch N01_04, prompt version 2.0",N01_04,pending,44,subject_body,False,TFAM_01659,Claude,,auto_pass,SGRP_01410,train,unchanged,
7,EMAIL_S09D_CLEAN_015,1,spam_or_fraud,email,S09_악성앱_원격제어_기술지원,앱 설치 유도,기기 속도 향상 앱 안내,기기 속도를 향상시키는 앱을 지금 설치해 보세요. 바쁘시겠지만 확인 부탁드립니다.,"제목: 기기 속도 향상 앱 안내
본문: 기기 속도를 향상시키는 앱을 지금 설치해 보세요. 바쁘시겠지만 확인 부탁드립니다.","제목: 기기 속도 향상 앱 안내
본문: 기기 속도를 향상시키는 앱을 지금 설치해 보세요. 바쁘시겠지만 확인 부탁드립니다.",속도향상 앱 사칭,install_software,31-80,strong,homoglyph,none,False,korean,formal,TFAM_06098_G01,,ai_generated,"Claude batch S09_04, prompt version 2.0",S09_04,pending,67,subject_body,False,TFAM_06098,Claude,,auto_pass,SGRP_05698,train,unchanged,
8,EMAIL_N15C_EVT_046,0,normal,email,N15_뉴스레터_프로모션,행사 초대,체험단 모집 안내,신제품 체험단을 모집합니다. 관심 있으시면 신청해 주세요. 잘 부탁드립니다.,"제목: 체험단 모집 안내
본문: 신제품 체험단을 모집합니다. 관심 있으시면 신청해 주세요. 잘 부탁드립니다.","제목: 체험단 모집 안내
본문: 신제품 체험단을 모집합니다. 관심 있으시면 신청해 주세요. 잘 부탁드립니다.",정상 체험단 모집,information,31-80,strong,homoglyph,none,False,korean,formal,TFAM_04218_G01,,ai_generated,"Claude batch N15_03, prompt version 2.0",N15_03,pending,60,subject_body,False,TFAM_04218,Claude,,auto_pass,SGRP_03852,train,unchanged,
9,EMAIL_N10B_POL_046,0,normal,email,N10_비밀번호_보안_안내,보안 정책·교육,랜섬웨어 예방 교육,랜섬웨어 예방을 위한 교육 자료를 첨부드립니다. 잘 부탁드립니다.,"제목: 랜섬웨어 예방 교육
본문: 랜섬웨어 예방을 위한 교육 자료를 첨부드립니다. 잘 부탁드립니다.","제목: 랜섬웨어 예방 교육
본문: 랜섬웨어 예방을 위한 교육 자료를 첨부드립니다. 잘 부탁드립니다.",정상 랜섬웨어 예방 교육,open_attachment,31-80,strong,homoglyph,none,False,korean,formal,TFAM_03281_G01,,ai_generated,"Claude batch N10_02, prompt version 2.0",N10_02,pending,55,subject_body,False,TFAM_03281,Claude,,auto_pass,SGRP_02949,train,unchanged,
10,EMAIL_N15_NEWS_033,0,normal,email,N15_뉴스레터_프로모션,정기 뉴스레터,신규 기능 업데이트 안내,이번 업데이트로 추가된 기능을 소개합니다. 자세한 내용은 도움말을 참고해 주세요. 궁금하신 점 있으면 말씀해 주세요.,"제목: 신규 기능 업데이트 안내
본문: 이번 업데이트로 추가된 기능을 소개합니다. 자세한 내용은 도움말을 참고해 주세요. 궁금하신 점 있으면 말씀해 주세요.","제목: 신규 기능 업데이트 안내
본문: 이번 업데이트로 추가된 기능을 소개합니다. 자세한 내용은 도움말을 참고해 주세요. 궁금하신 점 있으면 말씀해 주세요.",정상 제품 업데이트 안내,information,81-200,none,none,none,False,korean_english,formal,TFAM_04334_G01,,ai_generated,"Claude batch N15_01, prompt version 2.0",N15_01,pending,87,subject_body,False,TFAM_04334,Claude,,auto_pass,SGRP_03968,train,unchanged,
