id,label,label_name,category,subcategory,channel,text,reason,source_note
1,1,스팸_사기,광고성스팸,불법의약품광고,이메일,"제목: 병원처방전 없이 구매 가능한 발기부전치료제  안내
본문: 해외직구로 저렴하게! 배송비 무 료, 오늘만 50% 할인","처방전 없는 전문의약품 판매, 출처불명 해외직구 사이트",나무위키 스팸메일 문서의 불법 의약품 사이트 광고 유형 참고
2,0,정상,정상,쇼핑주문확인,이메일,"제목: [29CM] 주문이 정상적으로 완료되었습니다
본문: 주문번호 920356, 결제금액 100,000원. 배송 조회는 마이페이지에서 확인 가능합니다.",해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
3,0,정상,정상,쇼핑주문확인,이메일,"제목: [29CM] 주문이 정상적으로 완료되었습니다
본문: 주문번호 880886, 결제금액 140,000원. 배송 조회는 마이페이지에서 확인 가능합니다.",해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
4,1,스팸_사기,광고성스팸,로또번호_추천광고,SMS,"[복권천재] 이번 주 1등 당첨번호 무료공개! 지금까지 2회 연속 적중, 확인은 hxxp://복권천재-169.kr/4802","확인 불가능한 당첨 이력 주장, 개인정보 입력 후 유료 결제로 유도하는 경우 많음",나무위키 스팸메일 문서의 로또번호 추천 사이트 광고 유형 참고
5,1,스팸_사기,악성_해킹시도,카드발급사칭_스미싱,SMS,🔒 고객님 명의로 우리카드가 신규 발급 신청되었습니다. 본인이 아니라면  즉시 확인 hxxp://card-verify-kr-729.top/6183 🔥,"신청한 적 없는 카드 발급 안내, 확인을 명목으로 악성 링크 클릭 유도",KB Think 스미싱 대처법 페이지(신청한 적 없는 카드 스미싱) 패턴 참고
6,1,스팸_사기,사기_투자로맨스,가짜투자앱유도,SMS,[V IP리딩방] 제가 알려드린 전용 앱에 가입하시고 10만원부 터 넣어보세요. 첫 수익 나면 바로 출금 가눙하니 걱정 마세요 :) 앱 설치: hxxp://invest-vip-app-930.top/5895,"공식 앱스토어가 아닌 링크로 앱 설치 유도, 초기 소액 출금으로 신뢰 형성 후 거액 유도",일반적 리딩방-가짜거래소 연계 사기 패턴 참고
7,0,정상,정상,학교공지,SMS,[OO초등학교] 12월 11일은 학부모 상담주간입니다. 신청은 알림장 앱에서 해주세요.,해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
8,1,스팸_사기,악성_해킹시도,계정정보탈취_피싱메일,이메일,"제목: [쿠팡 보안경고] 고객님의 계정에서 비정상적인 로 그인이 감지되었습니다 
본문: 아래 링크에서 본인 확인 후 비밀번호를 재설정하지 않으면 24시간 내 계정이 정지됩니다. hxxp://쿠팡-account-verify-２６０.com/106 4","긴급성을 강조한 계정 정지 협박, 공식 도메인이 아닌 유사(타이포스쿼팅) URL, 개인정보 입력 유도",일반적 피싱메일 수법(계정 정지 협박형) 패턴 참고
9,1,스팸_사기,가짜채용,통장대여_이체알바,이메일,"제목: 이체 심부름 알바 모집 안내 ✅
본문: 본인 명의 계좌만 빌려주시면 건당 15만 원, 이체 심부름 알바 구합니다. 텔레그램으로 연락주세요 @job922 💸","통장 대여는 전자금융거래법 위반, 텔레그램 등 익명 메신저로만 소통, 실제로는 보이스피싱 자금 세탁에 이용",kbthink 이체알바 사기 안내(통장 대여 시 처벌 규정) 패턴 참고
10,1,스팸_사기,가짜채용,가짜채용_링크드인DM,이메일,"제목: Exciting Remote Opportunity  - Immediat e Start (#7093) ✅
본문: 귀하의 프로필을 보고 스카우 트 제안드립니다. 지 원하신 적 없으시더라도 고급 인재풀에서 선별되었습니다 . 아래 링크 에 서 개인정보와 계좌를 등록해주세요.","지원한 적 없는데 먼저 연락, 좋은 조건 강조, 개인정보·계좌정보를 채용 초기 단계에서 요구","lock.pub 가짜채용사기 안내(지원한 적 없는 연락, 개인정보 수집) 패턴 참고"
11,0,정상,정상,쇼핑주문확인,이메일,"제목: [쿠팡] 주문이 정상적으로 완료되었습니다
본문: 주문번호 396671, 결제금액 100,000원. 배송 조회는 마이페이지에서 확인 가능합니다.",해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
12,0,정상,정상,쇼핑주문확인,이메일,"제목: [29CM] 주문이 정상적으로 완료되었습니다
본문: 주문번호 185281, 결제금액 160,000원. 배송 조회는 마이페이지에서 확인 가능합니다.",해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
13,1,스팸_사기,광고성스팸,불법대출광고,SMS,"[케이캐시대부] 정부지 원 서민ㄷㅐ출 사칭, 최대 500만 원. 문의 010-8250-7155","미등록 대부업 의심, '신용조회 없이' 문구, 무자격자 대상 고액 대출 미끼",신한카드 불법대출광고 유형 안내 페이지 패턴 참고
15,1,스팸_사기,악성_해킹시도,정부기관_환급사칭_피싱,이메일,"제목: [국민건강보 험공단] 2026년 환급금 지급 안내 🔒
본문: 환 급 대상으로 화긴되어 안내드립니다. 아래 링 크 에서 계좌정보를 입력하시면 3일 내 환급됩니 다. hxxp://국민건강보험공단-refu n d-kr-997.net/5554","정부기관은 이메일/문자로 계좌정보 입력을 요구하지 않음, 가짜 정부 도메인",정부기관 사칭 스미싱/피싱 공통 패턴(공공기관 사칭 60% 비중) 참고
16,0,정상,정상,은행정상알림,SMS,"[우리은행] 체크카드 120,000원 승인. 가맹점: 올리브영",해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
19,0,정상,정상,은행정상알림,SMS,"[카카오뱅크] 40,000원 출금되었습니다. 잔액 55만원",해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
20,0,정상,정상,쇼핑주문확인,이메일,"제목: [29CM] 주문이 정상적으로 완료되었습니다
본문: 주문번호 340209, 결제금액 90,000원. 배송 조회는 마이페이지에서 확인 가능합니다.",해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
21,1,스팸_사기,광고성스팸,불법의약품광고,이메일,"제목: 병원 처방전 없이 구매 가능한 다이어트약 안내
본문: 해외직구로 저렴하게! 배송비 무료, 오늘만 40% 할인","처방전 없는 전문의약품 판매, 출처불명 해외직구 사이트",나무위키 스팸메일 문서의 불법 의약품 사이트 광고 유형 참고
22,1,스팸_사기,광고성스팸,불법대출광고,SMS,"[믿음저축] 신용조회 없이 당일승인, 최대 500 0만원. 뮨의 ０１０-6066-8424 🎉 🔥","미등록 대부업 의심, '신용조회 없이' 문구, 무자격자 대상 고액 대출 미끼",신한카드 불법대출광고 유형 안내 페이지 패턴 참고
23,0,정상,정상,쇼핑주문확인,이메일,"제목: [쿠팡] 주문이 정상적으로 완료되었습니다
본문: 주문번호 472611, 결제금액 150,000원. 배송 조회는 마이페이지에서 확인 가능합니다.",해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
24,1,스팸_사기,사기_보이스피싱,소액결제사칭,SMS,"[승인알림] 554,000원 결제가 완료되었슴니다. 본인이 아니라면 고객센터로 문의하세요 1588-3159","허위 소액결제 문자로 불안감 조성 후 사기범이 안내하는 번호로 유도, 실제 결제 내역 없음",보안뉴스 경찰청 보이스피싱 사례(허위 소액결제 문자 유형) 패턴 참고
25,0,정상,정상,정상택배안내,SMS,[CJ대한통운] 고객님의 상품이 배송 완료되었습니다. 송장번호: 451953574868,해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
26,0,정상,정상,학교공지,SMS,[OO초등학교] 9월 17일은 학부모 상담주간입니다. 신청은 알림장 앱에서 해주세요.,해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
27,1,스팸_사기,악성_해킹시도,택배사칭_스미싱,SMS,[쿠팡물류센터] 송장번호(1553844782) 결제 정보 확인이 필요합니다. 확인: hxxp://쿠팡물류센터-577.com/1575,"실제 주문내역 없음, 단축/변형 URL, 클릭 시 악성 앱 설치 유도",이스트시큐리티 알약 블로그·cashnote 스미싱 총정리 패턴 참고
29,0,정상,정상,정상택배안내,SMS,[CJ대한통운] 상품이 출고되어 배송을 시작합니다. 예상 도착일은 내일 오전입니다.,해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
30,1,스팸_사기,사기_투자로맨스,가짜투자앱유도,SMS,[VIP리딩방] 제가 알려드린 전용  앱에 가입하시고 50만 원부터 넣 어보세요. 첫 수익 나면 바로 출금 가능하니 걱정 마세요 :) 앱 설치: hxxp://invest-vip-app -394.xyz/4595 📈,"공식 앱스토어가 아닌 링크로 앱 설치 유도, 초기 소액 출금으로 신뢰 형성 후 거액 유도",일반적 리딩방-가짜거래소 연계 사기 패턴 참고
31,1,스팸_사기,사기_투자로맨스,가짜투자앱유도,이메일,"제목: [투자상담] 전용 트레이딩 앱 안내
본문: 제가  알려드린 전용 앱에 가입하시고 10만원부터 넣어보세요. 첫 수익 나면 바로 출금 가능하니 걱정 마세요 :) 앱 설치: hxxp://invest-vip-app-2 18.net/3206","공식 앱스토어가 아닌 링크로 앱 설치 유도, 초기 소액 출금으로 신뢰 형성 후 거액 유도",일반적 리딩방-가짜거래소 연계 사기 패턴 참고
32,1,스팸_사기,가짜채용,가짜채용_링크드인DM,이메일,"제목: Exciting Remote Opport unity - Immediate Start (#3143)
본문 : 귀하의 프로필을 보고 스카우트 제안드립니다. 지 원 하신 적 없으시더라도 고급 인재풀에서 선별되었습니다. 아래 링크에서 개인정보와  계좌를 등록해주세요. ✅","지원한 적 없는데 먼저 연락, 좋은 조건 강조, 개인정보·계좌정보를 채용 초기 단계에서 요구","lock.pub 가짜채용사기 안내(지원한 적 없는 연락, 개인정보 수집) 패턴 참고"
33,0,정상,정상,쇼핑주문확인,이메일,"제목: [올리브영] 주문이 정상적으로 완료되었습니다
본문: 주문번호 447732, 결제금액 80,000원. 배송 조회는 마이페이지에서 확인 가능합니다.",해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
35,1,스팸_사기,광고성스팸,불법대출광고,이메일,"제목: [국민든든대부] 저 금리 특별대환 안내
본문 : 신용조회 없이 당일승인. 상담문의는 무 료이며 빠른 진행이 가능합니다.","미등록 대부업 의심, 전화상담만으로 심사 가능하다는 비정상적 문구",신한카드 불법대출광고 유형 안내 페이지 패턴 참고
36,0,정상,정상,쇼핑주문확인,이메일,"제목: [마켓컬리] 주문이 정상적으로 완료되었습니다
본문: 주문번호 142356, 결제금액 100,000원. 배송 조회는 마이페이지에서 확인 가능합니다.",해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
37,1,스팸_사기,가짜채용,현금수거책_고액알바,SMS,단순 심부름 업무로 일당 40만원 드립니다. 광주 인근 지정 장소에서 현금이 든 쇼핑백을 수거해 전달만 하시면 됩니다. 경력/면접 없이 바로 시작 가능 💼,"비대면 채용, 현금 운반이라는 비정상적 업무, 고액 일당 대비 매우 단순한 업무 내용",정책브리핑·잡플래닛 고액알바 위험성 안내 패턴 참고
38,1,스팸_사기,광고성스팸,불법도박광고,SMS,"[로얄카지노] 루징 캐 시백 10%! 신규가입시 최대 1 0 0만원 지급, 지금 바로 가입 h xxp://로얄카지노-727.xyz/1365 📢 📢","080 수신거부 번호 없음, 단축/변형 URL, 미신고 도박사이트, 고액 지급 미끼",방통위·KISA 문자스팸 통계(도박 유형 약 40%) 패턴 참고
39,0,정상,정상,은행정상알림,SMS,"[하나은행] 360,000원 출금되었습니다. 잔액 928만원",해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
40,1,스팸_사기,악성_해킹시도,청첩장_부고장사칭_스미싱,SMS,🔒 OOO님의 장례식에 초대합니다. 모바일 부고장 확 인하기 hxxp://mcard-invite-283.xyz/3163 📢,"지인 사칭, 모바일 청첩장/부고장 클릭 유도 후 악성 앱 설치, 실제 지인 확인 불가",cashnote 스미싱 총정리(모바일청첩장 클릭 후 대출 피해) 패턴 참고
41,0,정상,정상,업무이메일,이메일,"제목: 3분기 실적 보고서 검토 요청
본문: 안녕하세요 이서연 대리님, 요청하신 자료 검토 후 회신드립니다. 궁금하신 점 있으시면 편하게 연락주세요.",해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
42,0,정상,정상,학교공지,SMS,[OO초등학교] 12월 14일은 학부모 상담주간입니다. 신청은 알림장 앱에서 해주세요.,해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
43,0,정상,정상,은행정상알림,SMS,"[신한은행] 자동이체 예정 안내: 7일 350,000원 출금 예정입니다.",해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
45,1,스팸_사기,광고성스팸,불법대출광고,이메일,"제목: [직장인 우대론] 저금리 특별 대환 안내
본문: 신용조회 없이 당일승 인. 상담문 의는 무 료이며 빠른 진행이 가능합니다.","미등록 대부업 의심, 전화상담만으로 심사 가능하다는 비정상적 문구",신한카드 불법대출광고 유형 안내 페이지 패턴 참고
47,0,정상,정상,은행정상알림,SMS,"[우리은행] 50,000원 출금되었습니다. 잔액 285만원",해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
48,1,스팸_사기,사기_투자로맨스,로맨스스캠,이메일,"제목 : 안녕하 세요, 인사드립니다
본문: 안녕하세요, 저는 두바이에서 근무 중인 미군 엔지니어입니다. 당신의 프로필을 보고 진지 하게 만나고 싶어 연락드립니다. 곧 귀국하 는데 통관 수수료이 필 요 해서요, 도와주실  수 있나요?","해외 거주/특수직군 등 확인 어려운 신분 사칭, 짧은 기간 내 신뢰 형성 후 금전 요구",kbthink 로맨스스캠 사례(접근-현혹-송금유도-잠적 흐름) 패턴 참고
