id,label,label_name,category,subcategory,channel,text,reason,source_note
1,1,스팸_사기,광고성스팸,로또번호_추천광고,SMS,"[복권천재] AI 분석으로 뽑은 이번주 1등 예상번호 무료 공개, 확인: hxxp://복권천재-169.kr/4802","확인 불가능한 당첨 이력 주장, 개인정보 입력 후 유료 결제로 유도하는 경우 많음",나무위키 스팸메일 문서의 로또번호 추천 사이트 광고 유형 참고
2,1,스팸_사기,악성_해킹시도,카드발급사칭_스미싱,SMS,🔒 고객님 명의로 우리카드가 신규 발급 신청되었습니다. 본인이 아니라면 즉시 확인 hxxp://card-verify-kr-729.top/6183,"신청한 적 없는 카드 발급 안내, 확인을 명목으로 악성 링크 클릭 유도",KB Think 스미싱 대처법 페이지(신청한 적 없는 카드 스미싱) 패턴 참고
3,1,스팸_사기,광고성스팸,불법대출광고,SMS,"[케이캐시대부] 정부지원 서민대출 사칭, 최대 500만원. 문의 010-8250-7155","미등록 대부업 의심, '신용조회 없이' 문구, 무자격자 대상 고액 대출 미끼",신한카드 불법대출광고 유형 안내 페이지 패턴 참고
4,0,정상,정상,은행정상알림,SMS,"[우리은행] 체크카드 120,000원 승인. 가맹점: 올리브영",해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
5,1,스팸_사기,광고성스팸,불법대출광고,SMS,"[행복저축은행(사칭)] 당일 즉시 입금, 최대 500만원. 문의 010-1746-1177 📢","미등록 대부업 의심, '신용조회 없이' 문구, 무자격자 대상 고액 대출 미끼",신한카드 불법대출광고 유형 안내 페이지 패턴 참고
6,0,정상,정상,은행정상알림,SMS,"[카카오뱅크] 승인알림: 40,000원 결제(출금) 완료. 잔여 55만원",해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
7,1,스팸_사기,광고성스팸,불법대출광고,SMS,"[믿음저축] 신용조회 없이 당일승인, 최대 5000만원. 뮨의 ０１０-6066-8424 🎉","미등록 대부업 의심, '신용조회 없이' 문구, 무자격자 대상 고액 대출 미끼",신한카드 불법대출광고 유형 안내 페이지 패턴 참고
8,1,스팸_사기,악성_해킹시도,택배사칭_스미싱,SMS,[쿠팡물류센터] 송장번호(1553844782) 결제 정보 확인이 필요합니다. 확인: hxxp://쿠팡물류센터-577.com/1575,"실제 주문내역 없음, 단축/변형 URL, 클릭 시 악성 앱 설치 유도",이스트시큐리티 알약 블로그·cashnote 스미싱 총정리 패턴 참고
9,1,스팸_사기,악성_해킹시도,택배사칭_스미싱,SMS,[쿠팡물류센터] 송장번호(7829696375) 부재중으로 반송 예정입니다. 확인: hxxp://쿠팡물류센터-967.com/8241,"실제 주문내역 없음, 단축/변형 URL, 클릭 시 악성 앱 설치 유도",이스트시큐리티 알약 블로그·cashnote 스미싱 총정리 패턴 참고
10,0,정상,정상,정상택배안내,SMS,[CJ대한통운] 상품이 출고되어 배송을 시작합니다. 예상 도착일은 내일 오전입니다.,해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
11,1,스팸_사기,사기_투자로맨스,가짜투자앱유도,SMS,"[VIP리딩방] 오늘 가입자 한정 혜택! 50만원으로 시작, 설치링크 hxxp://invest-vip-app-394.xyz/4595","공식 앱스토어가 아닌 링크로 앱 설치 유도, 초기 소액 출금으로 신뢰 형성 후 거액 유도",일반적 리딩방-가짜거래소 연계 사기 패턴 참고
12,1,스팸_사기,가짜채용,현금수거책_고액알바,SMS,단순 심부름 업무로 일당 40만원 드립니다. 광주 인근 지정 장소에서 현금이 든 쇼핑백을 수거해 전달만 하시면 됩니다. 경력/면접 없이 바로 시작 가능 💼,"비대면 채용, 현금 운반이라는 비정상적 업무, 고액 일당 대비 매우 단순한 업무 내용",정책브리핑·잡플래닛 고액알바 위험성 안내 패턴 참고
13,1,스팸_사기,광고성스팸,불법도박광고,SMS,"[로얄카지노] 루징 캐시백 10%! 신규가입시 최대 100만원 지급, 지금 바로 가입 hxxp://로얄카지노-727.xyz/1365 📢","080 수신거부 번호 없음, 단축/변형 URL, 미신고 도박사이트, 고액 지급 미끼",방통위·KISA 문자스팸 통계(도박 유형 약 40%) 패턴 참고
14,0,정상,정상,은행정상알림,SMS,"[하나은행] 승인알림: 360,000원 결제(출금) 완료. 잔여 928만원",해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
15,1,스팸_사기,악성_해킹시도,청첩장_부고장사칭_스미싱,SMS,[모바일초대장] OOO님이 장례식 초대장을 보냈습니다. 아래에서 확인해주세요 hxxp://mcard-invite-283.xyz/3163,"지인 사칭, 모바일 청첩장/부고장 클릭 유도 후 악성 앱 설치, 실제 지인 확인 불가",cashnote 스미싱 총정리(모바일청첩장 클릭 후 대출 피해) 패턴 참고
16,0,정상,정상,학교공지,SMS,"[OO초등학교] 학부모 상담 신청 안내: 12월 14일, 알림장 앱 이용 바랍니다",해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
17,0,정상,정상,은행정상알림,SMS,"[신한은행] 자동납부 예정: 7일 350,000원, 잔액을 미리 확인해주세요",해당없음(정상 메시지),일상적으로 발생하는 정상 업무/생활 커뮤니케이션 예시(합성)
